Taxon,Level,CRS12,CRS14,CRS21,CRS31,CRS38,CRS40,CRS46,CRS49,CRS52,CRS54,CRS59,CRS62,CRS66,CRS73,CRS9,CRSwNP1,CRSwNP13,CRSwNP16,CRSwNP24,CRSwNP27,CRSwNP30,CRSwNP39,CRSwNP42,CRSwNP45,CRSwNP47,CRSwNP48,CRSwNP57,CRSwNP69,CRSwNP72,CRSwNP74,CRSwNP79,control11,control17,control26,control33,control35,control53,control58,control7,control71
Escherichia/Shigella,genus,0,0,0,0.00315585,0,0,0,0,0,0,0,0,0.004418921,0,0.002814246,0,0,0,0,0.001272531,0,0.004833623,0.000635662,0,0.006132617,0.00604602,0,0,0,0,0,0.003729788,0.002251044,0.00541395,0,0,0.004113009,0.007449175,0.017452179,0
Faecalibacterium,genus,0,0,0.000108711,0,0,0,0,0.009019592,0,0,0,0,0,0,0,0,0,0,0,0.000792419,0,0.005598657,0,0.010062156,0,0.00575827,0,0,0.00736273,0,0,0.01118224,0,0.008792503,0.013788579,0,0,0.007016327,0.0172118,0
Ferruginibacter,genus,0,0,0,0,0,0.020585366,0,0,0,0,0,0,0,0,0,0.000899874,0,0.000342958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005677504,0,0,0,0.013453765
Firmicutes,phylum,0,0.007785853,0.000758779,0.001000133,0.000110232,9.65E-05,0.001933164,0,0.001657621,0.002760271,0.007518309,0.000463001,0,0,0,0.00081778,0.003603744,0.000119896,0.000281443,0,0,0.000882168,0.000626653,0,0.007798538,0.001602244,0,0.0003836,0,0,0,0.002661081,0.002348562,4.82E-05,0,0,0.000534705,0.010444204,0,0.004368789
Flavisolibacter,genus,0,0.011310146,0,0,0,0,0,0,0,0,0,0,0,0.006550411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003108041,0,0,0,0
Flavitalea,genus,0,0,0,0,0,0.013020843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flavobacteriaceae,family,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005566889,0,0,0.000244447,0.000147778,0,0,0,0,0,0,0,0,0,0,0.000210786,0,0.000501584,0,0,0,0,0.011482173,0,0,0,0
Flavobacterium,genus,0,0,0,0,0.000103448,0.005334829,0,0,0,0.010159082,0,0.03080045,0,0.024161605,0,0,0.021555795,0.000119896,0,0,0,0,0,0,0,0,0,0,0.008209573,0,0,0,0,0,0,0.018248052,0,0,0,0
Fusobacterium,genus,0.01425235,0.023219827,0.000782937,0.007596516,0.282415808,0,0.023486364,0.00648002,0,0,0,0,0,0,0.001090049,0.001768174,0.000429634,0,0.101298202,0.275001981,0,0.007699755,0.000233243,0.007288032,0,0.013066467,0,0.006009731,0,0.022925381,0,0.009849918,0.008164437,0,0.017496564,0,0.001126554,0,0,0
Gaiella,genus,0,0,0,0,0,0.001622245,0.003289533,0,0,0,0.008873486,0,0,0.003911037,0,0,0.006911188,0,0,0,0,0,0,0,0,0,0,0.003215845,0.002999083,0,0.008700139,0,0,0,0,0.010865053,0,0,0,0.00094043
Gammaproteobacteria,class,0.006663867,0.002855893,0.000116397,0.002901135,7.29E-05,0.03266645,0.005592206,0,0.011549437,0.004788516,0.017575143,0.002608001,0,0.027988121,0,0.002115493,0,0.002963934,0.009016872,0,0.005855742,0.005463221,1.50E-05,0,0,0,0.000960146,0.036058384,0.029243832,0,0.014307778,0.003790348,0.02044089,0,0,0.017473847,6.94E-05,0.003625684,0,0.006337376
Gemmatimonas,genus,0.003613739,0,0,0,0.000159412,0.000360896,0.003537375,0,0.012688209,0.009969826,0,0.007162054,0,0.000399556,0,0,0,0.000248156,0,0,0.000632583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002045846,0,0,0,0.011407978
Gluconobacter,genus,0,0,0,0,0,0,0,0,0,0,0.014751319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003269037,0,0,0,0,0,0,0,0,0,0,0
Gp10,genus,0,0,0,0,0.000305258,0,0,0,0,0,0.014877759,0,0,0,0,0,0,0,0.004111209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gp16,genus,0,0.013141158,0,0,0,0.012302624,0,0,0,0,0,0,0,0.017503621,0,0,0,0.000719374,0.003943768,0,0,0,0,0,0,0,0,0,0.009074907,0,0,0,0,0,0,0.007483983,0,0,0,0.004400371
Gp2,genus,0,0,0,0,0,0,0,0,0,0,0,0.010157095,0,0,0,0,0.005596358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gp25,genus,0,0.012711761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004414864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gp3,genus,0,0,0,0,0,0,0.002874962,0,0.017017563,0.014154868,0,0.005765815,0,0.008317678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013948879,0,0,0,0,0,0,0,0,0,0,0.014250323
