genus,species,CRS12,CRS14,CRS21,CRS31,CRS38,CRS40,CRS46,CRS49,CRS52,CRS54,CRS59,CRS62,CRS66,CRS73,CRS9,CRSwNP1,CRSwNP13,CRSwNP16,CRSwNP24,CRSwNP27,CRSwNP30,CRSwNP39,CRSwNP42,CRSwNP45,CRSwNP47,CRSwNP48,CRSwNP57,CRSwNP69,CRSwNP72,CRSwNP74,CRSwNP79,control11,control17,control26,control33,control35,control53,control58,control7,control71
Rhodopseudomonas,Rhodopseudomonas_palustris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhodopseudomonas,Rhodopseudomonas_pangongensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romboutsia,Clostridium_ruminantium,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0.8,1,1,1,1,1,1,0,0,0,0.915254237,0,0,0,1,0,0,1,0,1,0
Roseburia,Roseburia_faecalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Roseomonas,Roseomonas_gilardii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Rothia,Micrococcus_mucilaginosus,0,0,0,0,0,0,0.105263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rothia,Rothia_aeria,0,0,0,0,0,0,0,0,0,0,0,0,0.990909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.507042254,0,0,0,0,0,0,0.358662614,0,0,0
Rothia,Rothia_amarae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15625,0,0,0,0,0,0,0,0,0,0,0,0,0
Rothia,Rothia_dentocariosa,0,0,0,0,0,0,0,1,0,0,0,0,0.009090909,0,0,0,1,0,0,0,0,0,0,1,0,1,0.265625,0,0,0.492957746,0,0.836065574,0,0.99137931,0,0,0.638297872,0,0,0
Rothia,Rothia_mucilaginosa,0,0,0,0,0,0,0.894736842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5625,0,0,0,0,0.163934426,0,0,1,0,0,0,0,0
Ruminococcus,Ruminococcus_albus,0,0,0,0,0,0,0,0,0,0,0,0,0.769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruminococcus,Ruminococcus_bromii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruminococcus,Ruminococcus_callidus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruminococcus,Ruminococcus_flavefaciens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salinicoccus,Salinicoccus_halodurans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salinicoccus,Salinicoccus_roseus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Salmonella,Salmonella_serovar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salsuginibacillus,Salsuginibacillus_kocurii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scardovia,Scardovia_genomosp.,0,0,1,1,0,0,0,1,0,0,0,0,0.994974874,0,0,0,0,0,0,0.96875,0,0,0.740740741,0,1,1,1,0,0,1,0,1,1,1,0.991803279,0,1,1,1,0
Schlegelella,Schlegelella_thermodepolymerans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Schwartzia,Selenomonas_genomosp.,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Segetibacter,Terribacter_koreensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227272727,0,0,0,0
Selenomonas,Mitsuokella_jalaludinii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Selenomonas,Selenomonas_artemidis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Selenomonas,Selenomonas_infelix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070588235,0,0,0,0,0,0,0,0
Selenomonas,Selenomonas_noxia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.514285714,0,0,0,0,0,0,0,0,0,0.929411765,0,0,0,0,0,0,0,0
Selenomonas,Selenomonas_ruminantium,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Selenomonas,Selenomonas_sputigena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428571429,0,0.428571429,0,0,0,0,1,0,0,0,0,0,0,1,0.444444444,0,0,1,0,0
Serpens,Pseudomonas_tuomuerense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serpens,Pseudomonas_tuomuerensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.772727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serratia,Serratia_marcescens,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Shuttleworthia,Shuttleworthia_satelles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slackia,Slackia_exigua,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Sneathia,Leptotrichia_sanguinegens,0,0,0,0,0.115151515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sneathia,Sneathia_sanguinegens,0,0,0,0,0.042424242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solobacterium,Solobacterium_moorei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sphingobium,Sphingobium_amiense,0,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sphingobium,Sphingomonas_olei,0,0,0,0,0,0,0,0,0,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sphingomonas,Afipia_genosp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068181818,0,0,0,0,0,0,0,0,0,0,0,0.157142857,0,0,0,0,0,0,0
Sphingomonas,Caulobacter_leidyia,0,0,0,0.181818182,0,0,0,0,0,0.102272727,0.287128713,0.264705882,0.428571429,0,0.428571429,0,0.145631068,0,0.384615385,0,0.272727273,0.281690141,0.043478261,0.62962963,0.375,0.5,0.5,0,0,0,0.019607843,0,0.2,0.276595745,0.078947368,0,0.292929293,0.52,0,0
