genus,species,CRS_11,CRS_17,CRS_21,CRS_26,CRS_27,CRS_31,CRS_33,CRS_39,CRS_42,CRS_45,CRS_47,CRS_48,CRS_49,CRS_53,CRS_57,CRS_58,CRS_66,CRS_74,CRS_7,CRS_9
Bacteroides,Bacteroides_plebeius,0.364444444,0,0,0,0.169811321,0,0.517241379,0,0,0,0,0.301886792,0.117647059,0,0.219512195,0,0,0,0,0
Bacteroides,Bacteroides_sartorii,0,0,0,0,0,0.024590164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides,Bacteroides_thetaiotaomicron,0.093333333,0,0,0,0,0,0,0,0,0,0,0,0,0.079365079,0,0,0,0,0,0
Bacteroides,Bacteroides_uniformis,0.12,0,0,0,0,0,0,0,0,0.226277372,0,0,0,0.158730159,0,0,0,0,0,0
Bacteroides,Bacteroides_vulgatus,0,0,0,0,0.830188679,0.631147541,0,0,1,0.218978102,0,0.698113208,0.215686275,0.333333333,0,0,0,0,1,0
Barnesiella,Barnesiella_intestinihominis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bifidobacterium,Bifidobacterium_adolescentis,0,0,0,0.8,0,0,0,0,0,0,0.869565217,0,0,0.088888889,0,0,0,0,0,0
Bifidobacterium,Bifidobacterium_animalis,0,0,0.095238095,0,0,0,0,0,0.274647887,0,0,0,0,0.244444444,0,0,0,0.666666667,0,0
Bifidobacterium,Bifidobacterium_breve,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244444444,0,0,0,0,0,0
Bifidobacterium,Bifidobacterium_catenulatum,0,0,0,0,0,0,0,0,0,0.25,0,0.076923077,0,0.288888889,0,0,0,0,0,0
Bifidobacterium,Bifidobacterium_dentium,0,0,0,0,0,0,0,0,0,0.7375,0,0,0,0,0,0,0,0,1,0
Bifidobacterium,Bifidobacterium_gallicum,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044444444,0,0,0,0,0,0
